Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Neuroactive ligand-receptor interaction,16/341,3.174912658758031e-08,4.286132089323342e-06,0,0,6.318056680161943,109.0837797294256,GRIA1;GABBR2;CHRNA4;GCGR;NPY2R;CHRNA9;ADRB1;TRH;NTS;GLRA3;CCKBR;P2RY4;LEP;GHRH;CGA;PRSS2
KEGG_2021_Human,Tyrosine metabolism,4/36,0.0002294128534927725,0.0154853676107621,0,0,15.091463414634148,126.46627211403474,PNMT;ALDH3A1;TAT;TYRP1
GO_Biological_Process_2021,epithelial structure maintenance (GO:0010669),4/18,1.3407853734130344e-05,0.014507297740329,0,0,34.52613240418118,387.3718092973583,MUC2;TFF2;TFF1;LACRT
